19527363: 爷童回[大哭]
11914723: 不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧不会吧
27216406: ？？？？？草！！爷青回！！！
23126210: 眼睛怪怪的
15396519: 神作！！！！神作！！！！！！！
280798: 快进到叶公主
10662981: 梦回十几年前的初中。  没想到 在而立之年还能再次遇见你。
247218458: 挖槽 我小时候听的还是台配版[滑稽]
390798858: 买买买，旧版，新版，还有漫画也买吧Σ_(꒪ཀ꒪」∠)_
22442963: 露琪亚的声线耶
415418525: 重置吗!
15517524: 买它！！旧版一起买！！
1514227: 爷青回，这新作画风太棒了
510326097: 我冲着火影来的，一看卧槽？[惊讶][惊讶]
396890515: 芜湖！👴的中二之魂又雄起了
156292578: 希望到时候没人刷火影和jojo
1753041: 当时租的碟看的！！！
16316409: Woc  👴🏻青回
2509163: [笑哭]要是植木的法则也能重制就好了
161996: 吹爆通灵王！！
3873746: 爷青回！！！！！
42553839: 我还真看过
1781354: 首页看到激动的不行
26172487: 正儿八经的童年
52141749: 知道很久了
16911836: 卧槽
18516061: 这波感觉要忠于原著，想看，小破站快买
25107486: 爷青回！！！！！
36979265: 真是不可思议
41749761: 是重制版吗？[疑惑]
69829: 安娜真的，拿现在的话说就是，我想嫁个有钱人，但不是去找个有钱人，而是鞭策自己老公成为有钱人，大爱。
10940703: 我的童年又回来了
12704630: 船到桥头自然直（￣▽￣）
2418016: ！！！！我青回
16011980: 李[大哭]赛[大哭]路[大哭]
呼呼呼~[翻白眼]
1532795: 道莲加贞德能被个小屁孩秒了 看个屁 我恰里加塞
866762: 安娜大姐头我爱你(ღ♡‿♡ღ)[喜欢]
430469710: 当年我最喜欢叶王，他那个造型拉风的不行，超灵体也是，其他的都不在一个水平，关键是能让别人变强就离谱！（那时候星空卫视和华娱卫视播放过好多动漫，对内地来说，真的是很好的渠道了）
1489923: 啊啊啊啊啊啊啊啊啊啊啊啊爷青回！！！！！！！！！还记得以前在华娱卫视追通灵王的日子
500220: 啊安娜
645850: 其实吧，千年前叫麻仓叶王，这次是叫麻仓好的
4433297: 爷青回[打call][打call][打call][打call][打call][打call]
30002269: 看看，老子发现了什么，至今还记得他那句：船到桥头自然直
105108817: 当年看了这部动画，每天幻想召唤，哈哈哈
3871815: 爷青回。
903951: 画风比一些重置好多了，小当家我都看吐了
165007044: 卧槽我的青春回来了！
9357909: 噢耶耶耶
640608444: 哈哈哈哈叶王美如画哈哈哈哈
87470484: 天啊……终于等到了[大哭][大哭][大哭]
17327940: 真人真事 通灵王治好了我怕鬼的毛病。。
640608444: 主题曲也好听！！！
640608444: 这个漫画的封面图特好看！！我当年截了可多图！！！
640608444: 爷！！青！！回！！！
472659167: 通灵王的剧情快忘完了。先是少爷家的剧情然后是去比武。修炼。修炼后每个人的通灵都变大了。然后又变小了。结局是啥忘了。
512211: 二十年了！！！！！！爷青回！！！！[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]
7396018: 看过的第一个boss强到无法打败的动漫
232698839: 看通灵王开头还不错，直到李小龙那里，太膈应人，直接弃了，很好奇那种情节为什么没禁播
2055761: 安娜的那句，是恐山篇的对白啊[大哭]
15213380: 疯了，好喜欢的一部番！！！！
24183683: [热词系列_可以]
23516082: 叶王！叶王！！！[热词系列_吹爆]
245023809: 弱爆了你内[呲牙]
323638123: 柯哀党 继续狂喜？
33580325: 麻仓叶王，动漫史上少数作者难以掌控而被剧情杀的反派[doge]
216952982: [大笑][大笑]来了来了
26816889: 爷青回！
154065655: 爷青回
3772184: [doge]这个都来了  我感觉我可以等到G胖数三了
6990753: 船到桥头自然直，声优还是原先的好。[呲牙]
2048878: 叶王！！！终于！！！
28765943: 真正的👴青回
22789984: 爷青回
51000685: 真的，现在不如把好多以前的番重制一下，真的很多神番因为画质画风问题被好多新人错过，好可惜的
19114562: 通灵王！！！爷青回
208177437: 当初讲的啥来着，太久远了都忘了[捂脸]真的是爷青回
8623118: 爷的青春真的回来了
36202317: 我tm吹爆
426284780: 漫画恐山篇真的超神[大哭]猫又股宗那里把我看哭了[大哭]是一部热血中不失人情味 幽默与感动的动漫
111651550: [微笑][微笑][微笑]
46937949: 看过这动画的至少都二十好几了吧[呲牙]
1765833: 林原女王!!!
89977097: 只有我在纠结这里是啥剧情吗？难道是叶王逼安娜露出真面目，然后叶赶来救场那里？后续就是哥俩一起喝咖啡吗？好像说cv换了，对我倒是没啥影响，毕竟小时候看得是中文版，但是剧情希望是漫画版，然后不要太多续作，到花和二代安娜初见那里差不多吧，后续花篇总感觉怪怪的
7337514: 爷青回嗷嗷嗷嗷嗷嗷嗷嗷嗷
10273254: 当初起了个我是鬼人的id被朋友们耻笑了好久23333好怀念看的漫画[喜极而泣]
16571294: 麻仓叶啊，安娜女王啊
35158960: 爷青回
40791481: 小西克幸！！！原版的阿弥陀丸！！！！
39505260: 叶王
20869344: 妈的 2012年看完动漫就去追漫画了 看了主角儿子装逼 就很欣慰，老父亲露出姨母笑[高兴]
16308220: 啊啊啊啊啊啊啊啊，爷青回。
33435703: 船到桥头自然直
72012057: 我青回
25568480: 我擦嘞，我家里还有碟呢
28708268: 犬夜叉续集都回来了，通灵王也来了，那么我的死神还会远吗？
451022232: 通灵王确实可以有 死神也可以 多搞几个长篇好看的 天天看十几集的没啥剧情 我现在就想看点长长的
299439: 当年很喜欢贞德的人设，道莲真是人生赢家。。
1427869: 道莲的头发还是能武器用吗？说实话通灵王角色其实都挺有魅力，当初完结虽然感觉有些仓促，但是也算有一个完整的解答，还有安娜…女王系太戳我XP了[笑哭]
25303285: 啊啊啊啊，我的青春回来啦！！！《通灵王》，永远的白月光！！！[打call][打call][打call]
2994178: 中国元素肯定不少新人说[吃瓜]，李白龙
354504597: 你跟通灵妃啥关系[喜极而泣]
13313322: 阿b仔不打算来一套通灵王预热一下？[热词系列_有生之年]
1845631: 烂尾是肯定的，续作开头更烂，可惜了爷的青春
102721424: 太渺小了[doge]
2136355: 真爷青回了
9873983: 卧槽卧槽卧槽卧槽卧槽  我的青春[大哭]
1413654: 当真爷青回，连人生观都被影响到的作品，希望是全系列重置，想看恐山篇[星星眼]
292788302: 卧槽牛逼呀！
6696850: 我行了[tv_点赞]
23055386: 阿弥陀丸 in春雨[doge]
10123618: 通灵王都重置了
僵尸舞王和天降之物啥时候出新作啊[大哭]
247695984: 我是1990年出生，我对日漫爱情开始的地方就是《通灵王》
282424128: 这漫不知道治好了多少小屁孩晚上怕黑怕鬼的毛病。相当出我看的时候晚上回家爬楼梯都是不喊声控灯的[歪嘴]
421787: 通灵王里面的战力水平有点乱觉不觉得   有些角色会摆出很高的逼格说很深奥的话然后很潦草的退场
37025142: 别太杀马特就行。
32861537: 爷青回
229667654: 是重作还是继续以前剧情
52057973: ！！！！！！！！！！！！！！！我的妈！！！！
2088014: 为啥没找佐藤优子来配叶啊
75172887: 新剧情吗还是重新做旧版改画质？
288667990: 当年漫画没有买全很难受
7036148: ？？？爷青回
8912478: 当年这个是我看的第一个主角拥有40米长的大刀的动漫！
386486998: 我的天[星星眼]真正的爷青回
8912478: 看的不多，喜欢巨剑和图腾炮[doge]
8912478: 终于
38738214: 这是什么动漫
37112716: 我擦，难道就我一个是因为当时看到飞机头那夸张的发型和蜥蜴郎的猥琐而看的吗？记得那会好像还流行杀马特，葬爱家族什么的！所以感觉这动画好时髦[滑稽]
37136701: 叶的声优变了，可惜啊[大哭]
9042361: 啊啊啊啊啊阿弥陀流in春雨in布都御魂之剑！！！大后光刃(小时候看的台版[大哭][大哭][大哭][大哭])
9154024: 好怀恋以前的动漫[微笑]
587123: 每年都会刷一遍的通灵王！！！[大哭][大哭][大哭]我青回[大哭][大哭][大哭][大哭][热词系列_吹爆][热词系列_吹爆]
19861524: 终于  重制版出现了！！
11180694: 业界药丸
12328275: [暗中观察]叶王
344065482: 安娜打脸.gif 安娜浴袍.jpg念念不忘
380459160: 这次应该会有恐山篇了吧[笑]
36776059: 啊喔哦～[热词系列_有生之年]
38808828: 爷青回
415405944: md叶王当时真的是我的男神啊 现在看见了还是好心动55
21139703: 能看见幽灵的人都不是坏人＝＞我是坏人
32444257: 一定要买啊！！！！
376185238: 激动死了，浑身鸡皮疙瘩的，明年真是要爽死的一年无论游戏还是动画都有我最爱[点赞][点赞][点赞]
73749815: 卧槽～～我小时候看了五六遍通灵王～～以前PS上还有通灵王的格斗游戏～～
342683577: 啊啊啊啊啊啊啊啊我的叶王大人！！！！[打call][打call][打call][打call][打call][打call]
7672369: 画风变得更好看了，不过cv阳子来实在违和了点，，虽然挺喜欢阳子[喜极而泣]
337446776: 这个可以说是影响我一生的动漫了
3315374: 爷青回
6361103: 真·爷青结啊[喜极而泣]
4013673: 爷青回
20418139: 葉王是真帅，初一第一次看通灵王就喜欢葉王，到现在大学都毕业四年了，没想到还能等来重制版。果然是活的久的好处
26251400: 我的天啊
3192696: 看到米村正二这厮，我两眼一黑，透心凉
20418139: 葉王啊
32444257: 40米长的大刀[微笑]
37110880: 买了吗
32444257: 多半又看不了了
32444257: 靠!我得赶紧去某家看一看，我下载的还在不
2601604: 分辨率360p就是这个味！
33417764: 最爱的动画片没有之一
35726469: 有生之年[捂眼]我居然能看见通灵王的新番？！
安娜(不是)和林檎要不要考虑再来合作出首歌[doge]
500494: 第一反应熊猫太太你看到了吗[大哭]
20807531: 妈啊 我看到了什么！？
1534250: 卧槽(#ﾟДﾟ)[tv_大哭]
4691455: 小破站快买它！！！这个真的是爷青回，小学看的，里面好多角色都好喜欢当时最喜欢是莲哈哈哈
11337754: 冲冲冲
1603019: 爷青回
14362239: 一定要看！阿弥陀丸，第一个教会我用木棍砍油菜花的大师！[呲牙]
5373199: 2020年这么惨原来是在准备在2021年享福吗[大哭]
