23034243: 笑飞了鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅
9075761: [鼓掌][鼓掌]
641591444: 哈哈哈哈这个皇后真的太好笑了，关注了[大笑][大笑]
95202937: 好活关了
474235330: ಠ_ಠ我有一个特异功能！！
ಠ_ರೃ取下眼睛~
ಠ_ಠ再装上去~
ರೃ_ಠ再取下另一只~
ಠ_ಠ再装上去~
ರೃ_ರೃ都取下来~
ರೃ∀ರೃ装不上去了！！！
7933550: 哦 ，这太监的声音简直太生动形象了！[热词系列_爱了爱了]
144023556: 好看！
56726676: 宋丹丹【雾视】
27093138: 感觉很有意思，还想多看看，结果点开头像发现就两个，嘻嘻，催更[doge]
35295395: 皇上皇后绝配！
437086710: 关注了！爱了爱了！
4049887: 哈哈哈哈哈哈皇上的声音我可以qwq
28994: 哈哈哈不错啊
11731672: 占据老粉位置[OK]
15876912: 小鸟依人。。。。自从成为lsp以后已经不能直视把这个词套在男性身上了
51094559: 太好玩儿了，坐等更新
172926194: 啊，催个更，刚从首页点进来，非常有趣，看得津津有味，然后点进主页一看只有两个，雪～花～飘～飘～[捂脸]
283725449: 有点变月文化的感觉
39472591: 啊啊啊好喜欢，想看下一期
375183527: upup快更新哪！！！！！每天的开心就靠你了！！！！[打call][打call][打call]
340125235: 来了老弟[吃瓜]
26056395: 老粉报道[tv_doge]
106182871: 这皇后我可[doge]
292919635: 哈哈哈哈哈哈哈哈哈哈
82974238: woc！发现了宝藏！
282851868: 可爱死了哈哈哈哈哈哈哈哈哈
507321568: 两个又大又圆的东西请求交易[打call][打call][打call]
109097366: 可! ! !
106853904: 从皇上翻牌子及皇后的情况来看，第一集勾引皇上的应该是女装大佬了！好惨！！
877572: 这皇后不要请给我好吗求求你了！[大哭]
296708422: 好！很有趣！三连加关注了！
319053371: 哈哈哈哈哈哈哈哈哈哈哈
327251570: 这有这两集吗？被种草一点进去只有两集，是有其他号吗？[微笑]
76813439: (*°▽°*)八(*°▽°*)♪好看
199740792: 笑死我了
21994896: 好好的皇后怎么长了最
18977154: 话不多说 关注了 一口气看完了所有投稿 累死我了
421933425: 自来也有x，wc
15099740: 加大力度，更新不要停！这番我追定了！
458120766: 女a男o[妙啊][妙啊][妙啊]
23187447: 皇上咋想的，最强战斗力全安排进后宫了
265973986: 催更催更催更
645905091: 哈哈哈哈哈哈喜欢
325529607: 好活当赏！
494382464: up，我看好你哦，三连支持，希望你火起来啊[热词系列_三连][doge]
34661845: 哈哈哈哈，好可爱啊
148192820: 这怕不是妇好皇后。
365158647: 爱了爱了hhhh上一个双马尾少女怎么样了
499705358: 只、只有两个视频
3295849: 首页通知书！
12428568: 这啥啊好好看，有漫画吗
432586422: 侍寝就像选盲盒，你永远不知道今天和什么生物睡在一起
279365539: 有弗利萨就离谱[滑稽]
20115389: 哈哈哈哈哈这个皇后爱了爱了
519836534: 我现在关注以后就是老粉了[doge]
7997520: 皇后可爱哈哈哈哈
12273678: 我看   这动画组也像大鹅，来人，给我炖了[OK]
86901238: 三连支持一下
1682300: 这个皇后太可以了哈哈哈哈哈哈哈
434046635: 涨粉神速[打call][打call][打call]
3151798: 这皇帝也是穿越来的吧
271624636: 像继续看啊啊啊啊
53237357: 怎么感觉皇后灵魂是个男人，不会是男穿女吧？
382875029: 爱了爱了，关注了
362878330: 钟离无艳......
12560551: 皇后多可爱的！！
476111984: 哈哈哈哈哈哈可爱
10669610: 我想看有皇后的后续[鼓掌]
325930684: 只要我关注得够早，我就是老粉了，趁up还是一级哒，欺负欺负
16221079: 好喜欢皇后
10669610: 我…能说我很喜欢这皇后嘛！多有安全感，多实在[OK][doge]
368746921: 妹妹别傻啦妹妹！他是皇帝，他会找很多妃子，等到他有其他女人他就不要你啦，醒醒吧妹妹...啊已经是皇后啦，那没事了，去下一家[doge]
34300812: 太可爱了哈哈哈哈哈哈
500145865: 你老寻思你那大鹅噶哈玩意
487198375: 好家伙，我总共用了三分钟不到，看完了他所有视频。（只算看视频的时间）
611111671: [tv_doge]
550224510: 预计会火（淦！为什么不在五万的时候留？！！）
386823230: 为什么只有，两个视频还有吗？看不够啊！
494879369: 悄悄爱了
419066001: 这动画水平，这配音水平，前途无量呀，关注三连，怎么说也得来一波吧，火了我就是老粉了呀
26826863: 皇后其实是皇叔假扮的?😏😏😏
14513730: 看完这个视频，该说一下皇后的故事了。[吃瓜][吃瓜][吃瓜]
438747702: 我来了
8249351: hhhhh好可爱，现在关注以后爷就是老粉[doge]
20396414: up真的不把配音标注一下吗，还有上一期的，都挺好听的，不会是自己配的吧😄
616269877: 发现了宝藏up！[热词系列_吹爆][热词系列_三连][热词系列_这次一定]
2796985: 蛇叔勉强能冲[歪嘴]
500733168: 我不行了，为啥up你就俩视频，我现在好想看更多这类型的视频，这俩视频我已经来来回回看了好几遍了[笑哭]
437547036: 加油啊！虽然要素过多，律师函警告。
29130618: 太有趣了~~~~看不够啊，就两集[大哭]
259215994: 俺也是铁粉了
645342: 嗦铁栏杆什么意思[呆]
72182586: 不错啊，我喜欢
24228736: 这是什么沙雕关注了[吃瓜]
422540569: nise啊[tv_doge][热词系列_可以][热词系列_你币有了]
397706736: 只要我现在关注up主，以后我就是老粉了！
11334384: 哈哈哈哈哈哈太可爱了 我喜欢大鹅 ！
395228445: 关注了顺便蹲一蹲皇上皇后整治穿越者的日常[OK]
57200220: 给爷冲
150170576: 完了完了……我前几个星期开的新书就是天道杀穿越者的文……看样子以后有竞争对手了阿
271291104: 三连交换下一集皇后主场，我就喜欢这种单纯不做作的皇后[doge][doge]
271570359: 快更！每个视频都将拥有我的三连嘤嘤嘤
32173373: up棒棒的！
13913209: 哈哈哈哈哈哈哈哈哈哈哈哈
27239911: 芜湖
20590199: 好可爱哈哈哈哈哈哈哈哈皇后爱了爱了啊
410935346: 现在我关注了你，我就是老粉了！！！0硬币收好~
